,frame,id,cam,x,y,tl_x,tl_y,c_x,c_y,w,h,theta,l_x,l_y,r_x,r_y,aa_tl_x,aa_tl_y,aa_w,aa_h
1,1,1,1,887,342,834.54931640625,294.8185729980469,887,342,940.14990234375,390.5830993652344,0,834.54931640625,294.8185729980469,1774.69921875,589.6371459960938,834.54931640625,294.8185729980469,1774.69921875,589.6371459960938
1,1,2,1,933,605,911.5510864257812,540.1697998046875,933,605,956.0364379882812,671.2005615234375,0,911.5510864257812,540.1697998046875,1867.5875244140625,1080.339599609375,911.5510864257812,540.1697998046875,1867.5875244140625,1080.339599609375
2,2,1,1,883,338,831.0841064453125,289.9292297363281,883,338,936.2193603515625,387.0368957519531,0,831.0841064453125,289.9292297363281,1767.303466796875,579.8584594726562,831.0841064453125,289.9292297363281,1767.303466796875,579.8584594726562
2,2,2,1,928,598,906.53759765625,534.030029296875,928,598,950.6712036132812,663.7257690429688,0,906.53759765625,534.030029296875,1857.2088012695312,1068.06005859375,906.53759765625,534.030029296875,1857.2088012695312,1068.06005859375
3,3,1,1,879,337,825.6799926757812,287.50128173828125,879,337,932.6531372070312,386.7645263671875,0,825.6799926757812,287.50128173828125,1758.3331298828125,575.0025634765625,825.6799926757812,287.50128173828125,1758.3331298828125,575.0025634765625
3,3,2,1,926,592,903.3316040039062,527.9849243164062,926,592,950.1183471679688,656.1162109375,0,903.3316040039062,527.9849243164062,1853.449951171875,1055.9698486328125,903.3316040039062,527.9849243164062,1853.449951171875,1055.9698486328125
4,4,1,1,874,334,820.86328125,283.3479919433594,874,334,929.051025390625,384.7435607910156,0,820.86328125,283.3479919433594,1749.914306640625,566.6959838867188,820.86328125,283.3479919433594,1749.914306640625,566.6959838867188
4,4,2,1,925,585,900.1043701171875,520.19091796875,925,585,951.2527465820312,651.4584350585938,0,900.1043701171875,520.19091796875,1851.3571166992188,1040.3818359375,900.1043701171875,520.19091796875,1851.3571166992188,1040.3818359375
5,5,1,1,870,329,817.8534545898438,280.8409729003906,870,329,923.9033813476562,378.3450012207031,0,817.8534545898438,280.8409729003906,1741.7568359375,561.6819458007812,817.8534545898438,280.8409729003906,1741.7568359375,561.6819458007812
5,5,2,1,925,579,899.3239135742188,512.7994689941406,925,579,952.134033203125,647.0799560546875,0,899.3239135742188,512.7994689941406,1851.4579467773438,1025.5989379882812,899.3239135742188,512.7994689941406,1851.4579467773438,1025.5989379882812
6,6,1,1,867,326,814.5106811523438,277.6347961425781,867,326,921.3623046875,375.1539001464844,0,814.5106811523438,277.6347961425781,1735.8729858398438,555.2695922851562,814.5106811523438,277.6347961425781,1735.8729858398438,555.2695922851562
6,6,2,1,925,574,897.2037353515625,506.8504638671875,925,574,954.234375,641.3427124023438,0,897.2037353515625,506.8504638671875,1851.4381103515625,1013.700927734375,897.2037353515625,506.8504638671875,1851.4381103515625,1013.700927734375
7,7,1,1,862,323,809.6741333007812,273.6467590332031,862,323,915.6854858398438,373.3707580566406,0,809.6741333007812,273.6467590332031,1725.359619140625,547.2935180664062,809.6741333007812,273.6467590332031,1725.359619140625,547.2935180664062
7,7,2,1,926,564,895.5978393554688,499.32305908203125,926,564,957.961669921875,628.9348754882812,0,895.5978393554688,499.32305908203125,1853.5595092773438,998.6461181640625,895.5978393554688,499.32305908203125,1853.5595092773438,998.6461181640625
8,8,1,1,859,320,806.94189453125,271.1334533691406,859,320,912.8720092773438,369.7008972167969,0,806.94189453125,271.1334533691406,1719.8139038085938,542.2669067382812,806.94189453125,271.1334533691406,1719.8139038085938,542.2669067382812
8,8,2,1,926,557,893.3193969726562,492.354736328125,926,557,960.6162109375,622.5556640625,0,893.3193969726562,492.354736328125,1853.9356079101562,984.70947265625,893.3193969726562,492.354736328125,1853.9356079101562,984.70947265625
9,9,1,1,857,317,803.411376953125,266.9469909667969,857,317,910.7133178710938,367.7856140136719,0,803.411376953125,266.9469909667969,1714.1246948242188,533.8939819335938,803.411376953125,266.9469909667969,1714.1246948242188,533.8939819335938
9,9,2,1,925,552,891.01123046875,487.0007019042969,925,552,960.0379028320312,617.0244750976562,0,891.01123046875,487.0007019042969,1851.0491333007812,974.0014038085938,891.01123046875,487.0007019042969,1851.0491333007812,974.0014038085938
10,10,1,1,854,314,799.1859130859375,263.8346252441406,854,314,909.4307250976562,366.1192321777344,0,799.1859130859375,263.8346252441406,1708.6166381835938,527.6692504882812,799.1859130859375,263.8346252441406,1708.6166381835938,527.6692504882812
10,10,2,1,921,545,886.3018188476562,480.32769775390625,921,545,956.1808471679688,609.9559326171875,0,886.3018188476562,480.32769775390625,1842.482666015625,960.6553955078125,886.3018188476562,480.32769775390625,1842.482666015625,960.6553955078125
11,11,1,1,851,311,797.6787109375,260.68377685546875,851,311,905.57080078125,361.4412841796875,0,797.6787109375,260.68377685546875,1703.24951171875,521.3675537109375,797.6787109375,260.68377685546875,1703.24951171875,521.3675537109375
11,11,2,1,915,539,882.333984375,476.811279296875,915,539,947.8399047851562,602.691162109375,0,882.333984375,476.811279296875,1830.1738891601562,953.62255859375,882.333984375,476.811279296875,1830.1738891601562,953.62255859375
12,12,1,1,849,309,794.70703125,257.5716247558594,849,309,905.0982666015625,361.04510498046875,0,794.70703125,257.5716247558594,1699.8052978515625,515.1432495117188,794.70703125,257.5716247558594,1699.8052978515625,515.1432495117188
12,12,2,1,908,532,879.6090698242188,471.3767395019531,908,532,936.6900024414062,592.6954956054688,0,879.6090698242188,471.3767395019531,1816.299072265625,942.7534790039062,879.6090698242188,471.3767395019531,1816.299072265625,942.7534790039062
13,13,1,1,845,306,790.6167602539062,254.58255004882812,845,306,900.7825927734375,358.8849792480469,0,790.6167602539062,254.58255004882812,1691.3993530273438,509.16510009765625,790.6167602539062,254.58255004882812,1691.3993530273438,509.16510009765625
13,13,2,1,906,527,876.9021606445312,466.7522277832031,906,527,936.3499755859375,587.317626953125,0,876.9021606445312,466.7522277832031,1813.2521362304688,933.5044555664062,876.9021606445312,466.7522277832031,1813.2521362304688,933.5044555664062
14,14,1,1,844,303,788.18701171875,251.70164489746094,844,303,899.90087890625,355.4721374511719,0,788.18701171875,251.70164489746094,1688.087890625,503.4032897949219,788.18701171875,251.70164489746094,1688.087890625,503.4032897949219
14,14,2,1,907,520,874.7067260742188,458.86456298828125,907,520,941.27197265625,581.9953002929688,0,874.7067260742188,458.86456298828125,1815.9786987304688,917.7291259765625,874.7067260742188,458.86456298828125,1815.9786987304688,917.7291259765625
15,15,1,1,842,302,785.7110595703125,248.82078552246094,842,302,899.2680053710938,355.49774169921875,0,785.7110595703125,248.82078552246094,1684.9790649414062,497.6415710449219,785.7110595703125,248.82078552246094,1684.9790649414062,497.6415710449219
15,15,2,1,909,509,872.9042358398438,450.08062744140625,909,509,946.23779296875,568.5137939453125,0,872.9042358398438,450.08062744140625,1819.1420288085938,900.1612548828125,872.9042358398438,450.08062744140625,1819.1420288085938,900.1612548828125
16,16,1,1,840,299,782.6058349609375,245.95497131347656,840,299,897.5392456054688,352.29656982421875,0,782.6058349609375,245.95497131347656,1680.1450805664062,491.9099426269531,782.6058349609375,245.95497131347656,1680.1450805664062,491.9099426269531
16,16,2,1,909,500,870.9948120117188,441.4269714355469,909,500,948.1846923828125,560.4168701171875,0,870.9948120117188,441.4269714355469,1819.1795043945312,882.8539428710938,870.9948120117188,441.4269714355469,1819.1795043945312,882.8539428710938
17,17,1,1,836,295,780.9625854492188,243.73068237304688,836,295,892.5296020507812,348.2356872558594,0,780.9625854492188,243.73068237304688,1673.4921875,487.46136474609375,780.9625854492188,243.73068237304688,1673.4921875,487.46136474609375
17,17,2,1,906,489,866.2615966796875,430.5101013183594,906,489,946.1419067382812,549.4878540039062,0,866.2615966796875,430.5101013183594,1812.4035034179688,861.0202026367188,866.2615966796875,430.5101013183594,1812.4035034179688,861.0202026367188
18,18,1,1,834,294,778.5784301757812,241.41587829589844,834,294,890.0706787109375,346.87127685546875,0,778.5784301757812,241.41587829589844,1668.6491088867188,482.8317565917969,778.5784301757812,241.41587829589844,1668.6491088867188,482.8317565917969
18,18,2,1,897,486,861.7734375,424.3283996582031,897,486,934.0927734375,548.7985229492188,0,861.7734375,424.3283996582031,1795.8662109375,848.6567993164062,861.7734375,424.3283996582031,1795.8662109375,848.6567993164062
19,19,1,1,831,291,776.1500244140625,238.8381805419922,831,291,886.1388549804688,344.5325012207031,0,776.1500244140625,238.8381805419922,1662.2888793945312,477.6763610839844,776.1500244140625,238.8381805419922,1662.2888793945312,477.6763610839844
19,19,2,1,887,481,855.18505859375,417.2500915527344,887,481,920.2328491210938,546.6155395507812,0,855.18505859375,417.2500915527344,1775.4179077148438,834.5001831054688,855.18505859375,417.2500915527344,1775.4179077148438,834.5001831054688
20,20,1,1,830,290,774.1483764648438,238.1324005126953,830,290,886.1292724609375,342.5693054199219,0,774.1483764648438,238.1324005126953,1660.2776489257812,476.2648010253906,774.1483764648438,238.1324005126953,1660.2776489257812,476.2648010253906
20,20,2,1,883,478,852.5894775390625,411.90838623046875,883,478,914.8058471679688,545.360107421875,0,852.5894775390625,411.90838623046875,1767.3953247070312,823.8167724609375,852.5894775390625,411.90838623046875,1767.3953247070312,823.8167724609375
21,21,1,1,826,287,771.8898315429688,235.90760803222656,826,287,881.7312622070312,338.5169677734375,0,771.8898315429688,235.90760803222656,1653.62109375,471.8152160644531,771.8898315429688,235.90760803222656,1653.62109375,471.8152160644531
21,21,2,1,881,469,849.4314575195312,404.3055114746094,881,469,913.41357421875,534.71533203125,0,849.4314575195312,404.3055114746094,1762.8450317382812,808.6110229492188,849.4314575195312,404.3055114746094,1762.8450317382812,808.6110229492188
22,22,1,1,825,286,769.4793701171875,233.83251953125,825,286,881.9432373046875,338.72906494140625,0,769.4793701171875,233.83251953125,1651.422607421875,467.6650390625,769.4793701171875,233.83251953125,1651.422607421875,467.6650390625
22,22,2,1,880,462,846.7105102539062,397.7936706542969,880,462,915.1749877929688,528.0896606445312,0,846.7105102539062,397.7936706542969,1761.885498046875,795.5873413085938,846.7105102539062,397.7936706542969,1761.885498046875,795.5873413085938
23,23,1,1,822,285,767.323974609375,232.47720336914062,822,285,877.659423828125,339.3027648925781,0,767.323974609375,232.47720336914062,1644.9833984375,464.95440673828125,767.323974609375,232.47720336914062,1644.9833984375,464.95440673828125
23,23,2,1,880,454,844.45361328125,389.96063232421875,880,454,917.3422241210938,518.6619262695312,0,844.45361328125,389.96063232421875,1761.7958374023438,779.9212646484375,844.45361328125,389.96063232421875,1761.7958374023438,779.9212646484375
24,24,1,1,819,284,761.903564453125,236.12448120117188,819,284,876.5939331054688,332.5350646972656,0,761.903564453125,236.12448120117188,1638.4974975585938,472.24896240234375,761.903564453125,236.12448120117188,1638.4974975585938,472.24896240234375
24,24,2,1,878,447,840.9216918945312,383.1944885253906,878,447,916.9547729492188,510.95904541015625,0,840.9216918945312,383.1944885253906,1757.87646484375,766.3889770507812,840.9216918945312,383.1944885253906,1757.87646484375,766.3889770507812
25,25,1,1,816,286,759.8215942382812,241.30006408691406,816,286,874.076416015625,331.77679443359375,0,759.8215942382812,241.30006408691406,1633.8980102539062,482.6001281738281,759.8215942382812,241.30006408691406,1633.8980102539062,482.6001281738281
25,25,2,1,877,439,838.9717407226562,376.81805419921875,877,439,916.4989624023438,501.7200927734375,0,838.9717407226562,376.81805419921875,1755.470703125,753.6361083984375,838.9717407226562,376.81805419921875,1755.470703125,753.6361083984375
26,26,1,1,814,282,762.344482421875,240.62765502929688,814,282,867.278564453125,323.9833984375,0,762.344482421875,240.62765502929688,1629.623046875,481.25531005859375,762.344482421875,240.62765502929688,1629.623046875,481.25531005859375
26,26,2,1,875,435,835.650634765625,371.44073486328125,875,435,915.64013671875,499.05535888671875,0,835.650634765625,371.44073486328125,1751.290771484375,742.8814697265625,835.650634765625,371.44073486328125,1751.290771484375,742.8814697265625
27,27,1,1,808,268,768.46826171875,235.8302764892578,808,268,848.8646850585938,301.6865539550781,0,768.46826171875,235.8302764892578,1617.3329467773438,471.6605529785156,768.46826171875,235.8302764892578,1617.3329467773438,471.6605529785156
27,27,2,1,872,430,833.391845703125,366.9486389160156,872,430,911.5053100585938,494.6411437988281,0,833.391845703125,366.9486389160156,1744.8971557617188,733.8972778320312,833.391845703125,366.9486389160156,1744.8971557617188,733.8972778320312
28,28,1,1,810,262,771.451904296875,229.1917724609375,810,262,848.72998046875,295.2980651855469,0,771.451904296875,229.1917724609375,1620.181884765625,458.383544921875,771.451904296875,229.1917724609375,1620.181884765625,458.383544921875
28,28,2,1,866,425,829.873046875,360.7134704589844,866,425,902.6285400390625,490.813720703125,0,829.873046875,360.7134704589844,1732.5015869140625,721.4269409179688,829.873046875,360.7134704589844,1732.5015869140625,721.4269409179688
29,29,1,1,811,262,773.0614624023438,224.29991149902344,811,262,850.2219848632812,299.8599853515625,0,773.0614624023438,224.29991149902344,1623.283447265625,448.5998229980469,773.0614624023438,224.29991149902344,1623.283447265625,448.5998229980469
29,29,2,1,864,422,826.9103393554688,355.95233154296875,864,422,902.9689331054688,488.6296691894531,0,826.9103393554688,355.95233154296875,1729.8792724609375,711.9046630859375,826.9103393554688,355.95233154296875,1729.8792724609375,711.9046630859375
30,30,1,1,813,262,774.5298461914062,221.08206176757812,813,262,852.0763549804688,304.4954528808594,0,774.5298461914062,221.08206176757812,1626.606201171875,442.16412353515625,774.5298461914062,221.08206176757812,1626.606201171875,442.16412353515625
30,30,2,1,857,414,821.0487670898438,352.0478210449219,857,414,893.6148681640625,476.7675476074219,0,821.0487670898438,352.0478210449219,1714.6636352539062,704.0956420898438,821.0487670898438,352.0478210449219,1714.6636352539062,704.0956420898438
31,31,1,1,811,264,774.78662109375,219.65757751464844,811,264,848.3580322265625,308.7344970703125,0,774.78662109375,219.65757751464844,1623.1446533203125,439.3151550292969,774.78662109375,219.65757751464844,1623.1446533203125,439.3151550292969
31,31,2,1,852,410,817.1378173828125,347.9158935546875,852,410,888.4728393554688,474.0177001953125,0,817.1378173828125,347.9158935546875,1705.6106567382812,695.831787109375,817.1378173828125,347.9158935546875,1705.6106567382812,695.831787109375
32,32,1,1,808,263,774.0044555664062,215.18936157226562,808,263,843.6586303710938,312.80743408203125,0,774.0044555664062,215.18936157226562,1617.6630859375,430.37872314453125,774.0044555664062,215.18936157226562,1617.6630859375,430.37872314453125
